cell,placements,verdict,layout_devs,source_devs,dev_delta
ADDFHXL,15,CORRECT,0,32,-32
ADDFX1,2,CORRECT,0,28,-28
ADDHXL,1,CORRECT,0,16,-16
AND2X1,4,CORRECT,0,6,-6
AND2X2,25,CORRECT,0,6,-6
AND2X4,16,CORRECT,0,6,-6
AND2XL,5,CORRECT,0,6,-6
AND3X1,2,CORRECT,0,8,-8
AND3X2,1,CORRECT,0,8,-8
AND3X4,2,CORRECT,0,8,-8
AND3XL,7,CORRECT,0,8,-8
AND4XL,9,CORRECT,0,10,-10
AOI211X1,2,CORRECT,0,8,-8
AOI211X2,1,CORRECT,0,12,-12
AOI211X4,1,CORRECT,0,12,-12
AOI211XL,43,CORRECT,0,8,-8
AOI21X1,5,CORRECT,0,6,-6
AOI21XL,130,CORRECT,0,6,-6
AOI221XL,1,CORRECT,0,10,-10
AOI222X1,5,CORRECT,0,12,-12
AOI222XL,54,CORRECT,0,12,-12
AOI22X1,14,CORRECT,0,8,-8
AOI22X2,4,CORRECT,0,12,-12
AOI22XL,184,CORRECT,0,8,-8
AOI2BB1XL,4,CORRECT,0,8,-8
AOI2BB2X1,2,CORRECT,0,10,-10
AOI2BB2XL,4,CORRECT,0,10,-10
AOI31XL,2,CORRECT,0,8,-8
AOI32XL,2,CORRECT,0,10,-10
BUFX1,26,CORRECT,0,4,-4
BUFX12,3,CORRECT,0,4,-4
BUFX16,2,CORRECT,0,4,-4
BUFX2,12,CORRECT,0,4,-4
BUFX4,6,CORRECT,0,4,-4
BUFX8,6,CORRECT,0,4,-4
BUFXL,10,CORRECT,0,4,-4
CLKBUFX2,89,CORRECT,0,4,-4
CLKBUFX3,20,CORRECT,0,4,-4
CLKBUFX4,7,CORRECT,0,4,-4
CLKBUFX8,11,CORRECT,0,4,-4
CLKBUFXL,3,CORRECT,0,4,-4
CLKINVX1,3,CORRECT,0,2,-2
CLKINVX2,4,CORRECT,0,2,-2
CLKINVX3,22,CORRECT,0,2,-2
CLKINVX4,18,CORRECT,0,2,-2
CLKINVX8,16,CORRECT,0,2,-2
CLKINVXL,1,CORRECT,0,2,-2
CMPR32X1,11,CORRECT,0,28,-28
DFFSX1,215,CORRECT,0,34,-34
DFFSX2,14,CORRECT,0,34,-34
DFFSX4,1,CORRECT,0,40,-40
DFFSXL,781,CORRECT,0,34,-34
INVX1,4,CORRECT,0,2,-2
INVX2,12,CORRECT,0,2,-2
INVX3,7,CORRECT,0,2,-2
INVX4,32,CORRECT,0,2,-2
INVX8,1,CORRECT,0,2,-2
INVXL,206,CORRECT,0,2,-2
MX2XL,1,CORRECT,0,12,-12
MXI2X1,1,CORRECT,0,10,-10
MXI2XL,6,CORRECT,0,10,-10
NAND2BXL,67,CORRECT,0,6,-6
NAND2X1,11,CORRECT,0,4,-4
NAND2X2,6,CORRECT,0,6,-6
NAND2XL,528,CORRECT,0,4,-4
NAND3BXL,3,CORRECT,0,8,-8
NAND3X1,6,CORRECT,0,6,-6
NAND3XL,45,CORRECT,0,6,-6
NAND4BX1,1,CORRECT,0,10,-10
NAND4BXL,6,CORRECT,0,10,-10
NAND4X1,2,CORRECT,0,8,-8
NAND4XL,23,CORRECT,0,8,-8
NOR2BX1,4,CORRECT,0,6,-6
NOR2BX2,1,CORRECT,0,8,-8
NOR2BXL,9,CORRECT,0,6,-6
NOR2X1,15,CORRECT,0,4,-4
NOR2X2,7,CORRECT,0,6,-6
NOR2X4,2,CORRECT,0,8,-8
NOR2XL,236,CORRECT,0,4,-4
NOR3BX1,1,CORRECT,0,8,-8
NOR3X1,1,CORRECT,0,6,-6
NOR3X2,4,CORRECT,0,9,-9
NOR3XL,10,CORRECT,0,6,-6
NOR4BX1,1,CORRECT,0,10,-10
NOR4BXL,5,CORRECT,0,10,-10
NOR4X1,1,CORRECT,0,8,-8
OAI211X1,1,CORRECT,0,8,-8
OAI211XL,28,CORRECT,0,8,-8
OAI21X1,9,CORRECT,0,6,-6
OAI21XL,187,CORRECT,0,6,-6
OAI221XL,21,CORRECT,0,10,-10
OAI22X2,9,CORRECT,0,12,-12
OAI22XL,37,CORRECT,0,8,-8
OAI2BB1X1,5,CORRECT,0,8,-8
OAI2BB1XL,33,CORRECT,0,8,-8
OAI2BB2XL,2,CORRECT,0,10,-10
OAI31XL,2,CORRECT,0,8,-8
OR2X1,2,CORRECT,0,6,-6
OR2XL,60,CORRECT,0,6,-6
OR3X1,2,CORRECT,0,8,-8
OR3X2,1,CORRECT,0,8,-8
OR3XL,1,CORRECT,0,8,-8
OR4X1,3,CORRECT,0,10,-10
OR4XL,1,CORRECT,0,10,-10
TLATNXL,40,CORRECT,0,18,-18
XNOR2X1,15,CORRECT,0,12,-12
XNOR2XL,27,CORRECT,0,12,-12
XOR2X1,18,CORRECT,0,12,-12
XOR2XL,29,CORRECT,0,12,-12
